tiempo,mem_total,mem_libre,mem_disponible,mem_usada_pct,swap_total,swap_libre,swap_usada_pct
0,8132436,3776140,4531192,44.28,524284,524284,0.0
1,8132436,3731432,4486472,44.83,524284,524284,0.0
2,8132436,3707620,4462660,45.13,524284,524284,0.0
3,8132436,3553984,4309024,47.01,524284,524284,0.0
4,8132436,3530044,4285084,47.31,524284,524284,0.0
5,8132436,3473596,4228636,48.0,524284,524284,0.0
6,8132436,3417148,4172188,48.7,524284,524284,0.0
7,8132436,3381124,4136184,49.14,524284,524284,0.0
8,8132436,3748840,4503916,44.62,524284,524284,0.0
9,8132436,3759816,4514904,44.48,524284,524284,0.0
10,8132436,3769588,4524688,44.36,524284,524284,0.0
11,8132436,3780624,4535724,44.23,524284,524284,0.0
12,8132436,3788628,4543728,44.13,524284,524284,0.0
13,8132436,3795188,4550288,44.05,524284,524284,0.0
14,8132436,3729920,4485024,44.85,524284,524284,0.0
15,8132436,3663248,4418520,45.67,524284,524284,0.0
16,8132436,3529048,4284336,47.32,524284,524284,0.0
17,8132436,3506624,4262036,47.59,524284,524284,0.0
18,8132436,3455292,4210908,48.22,524284,524284,0.0
19,8132436,3406296,4162192,48.82,524284,524284,0.0
20,8132436,3363880,4119776,49.34,524284,524284,0.0
21,8132436,3737164,4493588,44.74,524284,524284,0.0
22,8132436,3744328,4502828,44.63,524284,524284,0.0
23,8132436,3744104,4502556,44.63,524284,524284,0.0
24,8132436,3753664,4512116,44.52,524284,524284,0.0
25,8132436,3795484,4553936,44.0,524284,524284,0.0
26,8132436,3821188,4579640,43.69,524284,524284,0.0
27,8132436,3794440,4552892,44.02,524284,524284,0.0
28,8132436,3732624,4491092,44.78,524284,524284,0.0
29,8132436,3667468,4425936,45.58,524284,524284,0.0
30,8132436,3546004,4304472,47.07,524284,524284,0.0
31,8132436,3489556,4248024,47.76,524284,524284,0.0
32,8132436,3441928,4200396,48.35,524284,524284,0.0
33,8132436,3393796,4152272,48.94,524284,524284,0.0
34,8132436,3779592,4538068,44.2,524284,524284,0.0
35,8132436,3787488,4545964,44.1,524284,524284,0.0
36,8132436,3802896,4561372,43.91,524284,524284,0.0
37,8132436,3815352,4573828,43.76,524284,524284,0.0
38,8132436,3820000,4578476,43.7,524284,524284,0.0
39,8132436,3889608,4648092,42.85,524284,524284,0.0
40,8132436,3859600,4618084,43.21,524284,524284,0.0
41,8132436,3709456,4467968,45.06,524284,524284,0.0
42,8132436,3661380,4419904,45.65,524284,524284,0.0
43,8132436,3532872,4291396,47.23,524284,524284,0.0
44,8132436,3492048,4250572,47.73,524284,524284,0.0
45,8132436,3427536,4186060,48.53,524284,524284,0.0
46,8132436,3379920,4138444,49.11,524284,524284,0.0
47,8132436,3528332,4286860,47.29,524284,524284,0.0
48,8132436,3741772,4500332,44.66,524284,524284,0.0
49,8132436,3764884,4523456,44.38,524284,524284,0.0
50,8132436,3890336,4648908,42.83,524284,524284,0.0
51,8132436,3890772,4649344,42.83,524284,524284,0.0
